Product Name,Price ,Price per quantity,Image URL,Image Path,Category,Subcategory,Availability,Product URL,Review Count
SunBites Sweet Chilli Multigrain Snacks 25g x,£ 1.0,£ 0.1667 each,https://www.ocado.com/productImages/480/48040011_0_640x640.jpg,images/SunBites Sweet Chilli Multigrain Snacks 25g x.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Multipack Crisps>Single Flavour",Yes,https://www.ocado.com/products/48040011,33
Kettle Chips Lightly Salted 30g x,£ 1.79,£ 0.358 each,https://www.ocado.com/productImages/587/58714011_0_640x640.jpg,images/Kettle Chips Lightly Salted 30g x.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Multipack Crisps>Single Flavour",Yes,https://www.ocado.com/products/58714011,13
Sensations Caramelised Onion & Balsamic Vinegar Crisps,£ 0.99,£ 0.6617 per 100g,https://www.ocado.com/productImages/444/44492011_0_640x640.jpg,images/Sensations Caramelised Onion & Balsamic Vinegar Crisps.jpg,Food Cupboard,"Food Cupboard>Crisps, Snacks & Nuts>Crisps & Popcorn>Crisps for Sharing>Big Bags",Yes,https://www.ocado.com/products/44492011,24
Lindt Excellence 90% Dark Supreme Chocolate Bar,£ 2.0,£ 2.0 per 100g,https://www.ocado.com/productImages/466/46655011_0_640x640.jpg,images/Lindt Excellence 90% Dark Supreme Chocolate Bar.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Treats>Chocolate",Yes,https://www.ocado.com/products/46655011,58
Paxo Sage & Onion Stuffing Tray Bake,£ 1.49,£ 1.49 per 100g,https://www.ocado.com/productImages/496/496337011_0_640x640.jpg,images/Paxo Sage & Onion Stuffing Tray Bake.jpg,Food Cupboard,Food Cupboard>Cooking Ingredients>Breadcrumbs & Stuffings>Stuffings,Yes,https://www.ocado.com/products/496337011,6
Old El Paso Smoky BBQ Fajita Kit,£ 3.2,£ 0.64 per 100g,https://www.ocado.com/productImages/267/26769011_0_640x640.jpg,images/Old El Paso Smoky BBQ Fajita Kit.jpg,Food Cupboard,Food Cupboard>Cooking Sauces & Kits>Meal Kits>Mexican,Yes,https://www.ocado.com/products/26769011,31
Schwartz Cinnamon Sticks Jar,£ 1.6,£ 1.23 per 10g,https://www.ocado.com/productImages/316/316746011_0_640x640.jpg,images/Schwartz Cinnamon Sticks Jar.jpg,Food Cupboard,Food Cupboard>Cooking Ingredients>Spices>Cinnamon,Yes,https://www.ocado.com/products/316746011,4
Cadbury Drinking Hot Chocolate,£ 3.0,£ 0.4002 per 100g,https://www.ocado.com/productImages/374/374001011_0_640x640.jpg,images/Cadbury Drinking Hot Chocolate.jpg,Food Cupboard,"Food Cupboard>Tea, Coffee & Hot Drinks>Hot Chocolate & Malts>Hot Chocolate>Jars",Yes,https://www.ocado.com/products/374001011,10
McVitie's Jaffa Cakes Original,£ 1.6,£ 0.08 each,https://www.ocado.com/productImages/514/51464011_0_640x640.jpg,images/McVitie's Jaffa Cakes Original.jpg,Food Cupboard,Food Cupboard>Biscuits>Chocolate Biscuits>Jaffa Cakes,Yes,https://www.ocado.com/products/51464011,11
Off The Eaten Path Balsamic Vinegar Bean Sticks,£ 1.5,£ 1.5 per 100g,https://www.ocado.com/productImages/374/374086011_0_640x640.jpg,images/Off The Eaten Path Balsamic Vinegar Bean Sticks.jpg,Food Cupboard,"Dietary, Lifestyle & World Foods>Free From>Palm Oil Free>Treats>Snacks",Yes,https://www.ocado.com/products/374086011,128
